000002F|quiver	8301	8227	000002F_F30	9	33
000004F|quiver	106289	106182	000004F_R458	2	37
000217F|quiver	200	715	000004F_R792	2	173
000004F|quiver	11153	11227	000004F_R881	82	106
000005F|quiver	103130	103252	000005F_F391	5	45
000006F|quiver	92545	91700	000006F_F473	81	363
000006F|quiver	92760	92521	000006F_F473	14	85
000006F|quiver	135008	134634	000006F_F473	19	143
000006F|quiver	134367	133993	000006F_F473	238	363
000008F|quiver	162184	159683	000008F_F773	6	891
000008F|quiver	14510	14869	000008F_F773	769	888
000008F|quiver	872	642	000008F_F773	810	883
000008F|quiver	188579	188310	000008F_F773	797	883
000008F|quiver	13120	13587	000008F_F773	215	349
000008F|quiver	13607	13750	000008F_F773	354	401
000008F|quiver	189348	189148	000008F_F773	551	617
000008F|quiver	189449	189333	000008F_F773	517	555
000014F|quiver	127940	127821	000014F_F640	33	69
000019F|quiver	83642	83415	000019F_R245	4	79
000019F|quiver	158803	159075	000019F_R262	4	94
000025F|quiver	16284	16057	000025F_R606	3	78
000028F|quiver	21866	22096	000028F_F763	2	78
000028F|quiver	22107	22172	000028F_F763	82	103
000030F|quiver	136393	136527	000030F_R133	47	90
000030F|quiver	24955	24902	000030F_R226	2	19
000051F|quiver	70502	70801	000051F_F226	71	170
000051F|quiver	59274	59333	000051F_F226	151	170
000051F|quiver	66134	66217	000051F_F226	137	170
000051F|quiver	54217	54744	000051F_F242	2	177
000051F|quiver	70502	70801	000051F_F242	78	177
000051F|quiver	59274	59333	000051F_F242	158	177
000051F|quiver	66134	66217	000051F_F242	144	177
000051F|quiver	54217	54687	000051F_F259	2	158
000051F|quiver	54217	54744	000051F_F277	2	177
000051F|quiver	70502	70801	000051F_F277	78	177
000051F|quiver	59274	59333	000051F_F277	158	177
000051F|quiver	66134	66217	000051F_F277	144	177
000051F|quiver	54217	54744	000051F_F293	2	177
000051F|quiver	70502	70801	000051F_F293	78	177
000051F|quiver	59274	59333	000051F_F293	158	177
000051F|quiver	66167	66217	000051F_F293	161	177
000051F|quiver	61567	61857	000051F_F306	158	254
000051F|quiver	68450	68740	000051F_F306	158	254
000051F|quiver	56979	57269	000051F_F306	158	254
000051F|quiver	63862	64152	000051F_F306	158	254
000051F|quiver	73035	73325	000051F_F306	158	254
000051F|quiver	54217	54696	000051F_F306	2	161
000051F|quiver	54684	54974	000051F_F306	158	254
000051F|quiver	59282	59563	000051F_F306	161	254
000051F|quiver	70741	71031	000051F_F306	158	254
000051F|quiver	70502	70753	000051F_F306	78	161
000051F|quiver	54217	54744	000051F_F323	2	177
